NREG_ERR;DESC ERR
2301;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
3073;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
4130;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
5411;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
6648;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
6915;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
6916;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
7473;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
8622;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
8875;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR ES INVALIDO
10720;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
11329;EL CAMPO NUMERO DE IDENTIFICACION DEL COMPRADOR DEBE SER NUMERICO Y DE 11 POSICIONES
